,read_id,payload_prediction,library_motif,raw_transcript,quality
15,01465801-bd7b-4d71-9926-bc38ce4a51c8,"[[5], [3], [3], [4], [1], [2], [1], [1]]","['ltm8_1x1', 'ltm8_2x8', 'ltm8_3x5', 'ltm8_4x3', 'ltm8_5x3', 'ltm8_6x4', 'ltm8_7x1', 'ltm8_8x2', 'ltm8_9x1', 'ltm8_10x1']",9 1 9 10 8 10 11 5 11 12 3 12 13 3 13 14 4 14 15 1 15 16 2 16 17 1 17 18 1 18,5.786836618156949
16,01475de2-6b63-4953-9703-defb58858f9f,"[[8], [8], [8], [7], [1], [8], [1], [1]]","['ltm8_1x1', 'ltm8_2x8', 'ltm8_3x8', 'ltm8_4x8', 'ltm8_5x8', 'ltm8_6x7', 'ltm8_7x1', 'ltm8_8x8', 'ltm8_9x1', 'ltm8_10x1']",9 1 9 10 8 10 11 8 11 12 8 12 13 8 13 14 7 14 15 1 15 16 8 16 17 1 17 18 1 18,5.44688404379738
17,016df857-c6e8-49da-8cdc-7159c6dd69f4,"[[8], [6], [3], [8], [6], [6], [], []]","['ltm8_2x1', 'ltm8_3x8', 'ltm8_4x6', 'ltm8_5x3', 'ltm8_6x8', 'ltm8_7x6', 'ltm8_8x6']",16 6 16 15 6 15 14 8 14 13 3 13 12 6 12 11 8 11 10 1 10,8.891003434167104
18,017b0ce3-bf95-4ec4-a5f7-60191b55d937,"[[], [], [8], [5], [2], [7], [2], []]","['ltm8_1x8', 'ltm8_2x5', 'ltm8_5x8', 'ltm8_6x5', 'ltm8_7x2', 'ltm8_8x7', 'ltm8_9x2']",2 17 17 16 7 16 15 2 15 14 5 14 13 8 13 10 5 10 9 8 9,7.203344055044604
19,0182ad65-3fe9-4c1c-9dd2-2faa2f879bb2,"[[7], [], [], [], [7], [], [], []]","['ltm8_1x8', 'ltm8_2x2', 'ltm8_3x7', 'ltm8_7x7']",16 15 7 14 13 11 14 11 7 11 10 2 10 9 8 9,5.166139097053378
20,01ad265e-5904-46fd-a3cc-9483338f5d36,"[[2], [8], [1], [8], [5], [3], [5], [3]]","['ltm8_1x1', 'ltm8_2x8', 'ltm8_3x2', 'ltm8_4x8', 'ltm8_5x1', 'ltm8_6x8', 'ltm8_7x5', 'ltm8_8x3', 'ltm8_9x5', 'ltm8_10x3']",9 1 9 10 8 10 11 2 11 12 8 12 13 1 13 14 8 14 15 5 15 16 3 16 17 5 17 18 3 18,6.092688860301967
21,01ad68f3-5512-4fb4-8c60-4b6d5c77cd8f,"[[8], [5], [3], [7], [6], [5], [], []]","['ltm8_1x7', 'ltm8_2x3', 'ltm8_3x8', 'ltm8_4x5', 'ltm8_5x3', 'ltm8_6x7', 'ltm8_7x6', 'ltm8_8x5']",16 5 16 15 6 15 14 7 14 13 3 13 12 5 12 11 8 11 10 3 10 9 7 9,14.90714199193814
22,01e01263-576a-4d8d-b711-b85237608345,"[[], [], [5], [], [6], [2], [], []]","['ltm8_1x8', 'ltm8_2x8', 'ltm8_5x5', 'ltm8_7x6', 'ltm8_8x2']",17 17 16 2 16 15 6 15 14 15 14 13 5 13 11 10 11 10 8 10 9 8 9,4.185891900264289
23,01ea5c26-7888-42ac-8dcc-51419cef2a00,"[[3], [], [], [5], [2], [5], [3], [5]]","['ltm8_1x5', 'ltm8_2x2', 'ltm8_3x3', 'ltm8_6x5', 'ltm8_7x2', 'ltm8_8x5', 'ltm8_9x3', 'ltm8_10x5']",18 5 18 17 3 17 16 5 16 15 2 15 14 5 14 11 3 11 10 2 10 9 5 9,8.678402558563503
24,01fc6dff-64a5-43bf-9fef-8b6f8ef02052,"[[6], [5], [8], [2], [6], [8], [3], [5]]","['ltm8_1x4', 'ltm8_2x7', 'ltm8_3x6', 'ltm8_4x5', 'ltm8_5x8', 'ltm8_6x2', 'ltm8_7x6', 'ltm8_8x8', 'ltm8_9x3', 'ltm8_10x5']",9 4 9 10 7 10 11 6 11 12 5 12 13 8 13 14 2 14 15 6 15 16 8 16 17 3 17 18 5 18,9.112456157114078
